file_size,entropy,nb_sections,size_code,size_image,entry_point,subsystem,dll_char,machine,sect_entropy_max,sect_entropy_mean,nb_dll,nb_imports,api_CreateRemoteThread,api_VirtualAllocEx,api_WriteProcessMemory,api_LoadLibraryA,api_GetProcAddress,api_RegSetValueExA,api_InternetOpenA,api_URLDownloadToFileA,api_CreateProcessA,api_ShellExecuteA,api_WinExec,api_IsDebuggerPresent,api_CryptEncrypt,api_OpenProcess,api_SetWindowsHookExA,api_CreateMutexA,label
72003,6.1181,10,48640,102400,4096,3,32768,34404,6.325,2.9075,4,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
846536,6.1826,6,585216,843776,537136,2,16736,34404,6.2295,5.2299,12,234,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1632136,6.2219,7,1153536,1650688,758048,2,16736,34404,6.213,4.3955,14,245,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
19648,6.9618,2,2048,12288,0,3,1344,332,4.1399,3.717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44981528,6.2286,8,27419136,45109248,2238304,2,16736,34404,6.7091,4.34,20,819,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
17222576,6.2363,9,7593984,17625088,529728,3,33120,34404,6.1045,4.2508,1,46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19136,7.012,2,1536,12288,0,3,1344,332,4.4954,3.8948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46480,6.1893,12,15360,331776,5184,3,33120,34404,6.005,2.5956,5,86,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4064200,3.6804,2,0,4046848,0,2,1344,332,3.6378,2.332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47635,6.1689,10,34816,81920,5152,3,1344,332,6.3391,2.5966,3,78,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
474032,5.7981,3,460800,491520,468494,3,34112,332,5.7461,2.786,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221080,6.2057,5,111616,217088,102589,3,320,332,6.6839,4.7167,11,188,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
6899576,6.3468,9,4836352,6934528,2035968,3,16736,34404,6.4604,3.3916,6,176,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
21880,6.3859,2,10240,32768,0,2,34144,34404,5.4991,4.7758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36779,5.375,10,7680,65536,4096,3,32768,34404,5.7397,2.6196,4,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344595,6.8619,10,217600,376832,5152,3,1344,332,7.2846,3.1771,4,60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
59784,6.04,3,48128,73728,55966,3,34144,332,5.7867,2.9771,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82032,5.759,3,63488,90112,71326,3,34112,332,5.0484,2.7277,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
885856,5.6666,2,857600,876544,0,3,34112,34404,5.6011,3.9939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
